order_month,total_revenue,total_profit,total_orders,total_units,avg_margin_pct,mom_revenue_growth_pct
2014-01,14236.895,2450.1907,32,284,12.858194754695127,
2014-02,4519.892,862.3084,28,159,5.181159420289855,-68.25226287052058
2014-03,55691.009,498.7299,71,585,13.100192093822667,1132.1314093345593
2014-04,28295.345,3488.8352,66,536,22.890377632534495,-49.192256509484324
2014-05,23648.287,2738.7096,69,466,12.075096432015428,-16.42340109300664
2014-06,34595.1276,4976.5244,66,521,11.27054327904001,46.290205290556564
2014-07,33946.393,-841.4826000000002,65,550,7.760582554700202,-1.8752195612656286
2014-08,27909.4685,5318.105,72,609,19.23678899169095,-17.78369943457615
2014-09,81777.3508,8328.0994,130,1000,11.773245989938264,193.0093448393688
2014-10,31453.393,3448.2573,78,573,9.173670935879592,-61.53776969747472
2014-11,78628.7167,9292.1269,151,1219,13.40603547498664,149.98484805756885
2014-12,69545.6205,8983.5699,141,1079,4.366833424017089,-11.551881527782836
2015-01,18174.0756,-3281.007,29,236,12.395187385298946,-73.867404634056
2015-02,11951.411,2813.8508,36,239,16.655505952380953,-34.239235804653525
2015-03,38726.252,9732.0978,79,515,14.457435147972232,224.0307943555786
2015-04,34195.2085,4187.4962,72,543,3.767733134920635,-11.700185961708865
2015-05,30131.6865,4667.869,74,575,10.71872401928808,-11.883308154123407
2015-06,24797.292,3335.5572,68,486,12.233925695882217,-17.70360414442782
2015-07,28765.325,3288.6483,66,557,9.149834933973588,16.00188036661423
2015-08,36898.3322,5355.8084,68,598,11.483576449447703,28.273649611120312
2015-09,64595.918,8209.1627,140,1086,13.350082695194118,75.06460088729973
2015-10,31404.9235,2817.366,87,631,8.934691145534519,-51.38249525302822
2015-11,75972.5635,12474.7884,158,1310,8.898290011852104,141.91290738218166
2015-12,74919.5212,8016.9659,161,1203,18.012170691061232,-1.3860823585346016
2016-01,18542.490999999998,2824.8233,48,358,17.712680577849117,-75.2501207922829
2016-02,22978.815,5004.5795,45,306,18.44716963090457,23.925178121968614
2016-03,51715.875,3611.9680000000003,86,579,4.790233884965029,125.05892927899023
2016-04,38750.039000000004,2977.8149,89,635,13.182148349535892,-25.07128807160276
2016-05,56987.728,8662.1464,108,863,7.792804232804232,47.06495650236635
2016-06,40344.534,4750.3781,97,742,14.716852235031366,-29.20487372298822
2016-07,39261.963,4432.8778999999995,96,758,13.51155055720464,-2.6833151673036904
2016-08,31115.3743,2062.0693,90,693,8.554742179240844,-20.749315819996074
2016-09,73410.0249,9328.6576,192,1316,14.729830658367362,135.9284647911178
2016-10,59687.745,16243.142500000002,105,767,13.810476571581013,-18.692651199468536
2016-11,79411.9658,4011.4075,183,1406,13.696418018476841,33.045679309881784
2016-12,96999.043,17885.3093,176,1414,15.404125949622273,22.146633725568844
2017-01,43971.374,7140.4391,69,597,7.909447004608295,-54.66823935572231
2017-02,20301.1334,1613.8719999999998,53,363,6.236079478520381,-53.83102333804717
2017-03,58872.3528,14751.891500000002,118,885,15.160693689240404,189.99539897609856
2017-04,36521.5361,933.2899999999998,116,733,5.216904943795701,-37.96487763268058
2017-05,44261.1102,6342.5828,118,887,10.060151308206729,21.19180879689233
2017-06,52981.7257,8223.3357,133,931,7.027514815449989,19.702658746232714
2017-07,45264.416,6952.6212,111,840,15.414349958272394,-14.565984021920986
2017-08,63120.888,9040.9557,111,884,15.834334498325322,39.449248610652575
2017-09,87866.652,10991.5556,226,1660,14.893707446667847,39.203764053509516
2017-10,77776.9232,9275.2755,147,1133,8.770512567443085,-11.483001309757423
2017-11,118447.825,9690.1037,261,1840,11.21244983105806,52.291734008835135
2017-12,83829.3188,8483.346800000001,224,1723,13.342714909655323,-29.22679770607861
